date,price
01 January 2017,"₹2,745"
02 January 2017,"₹2,754"
03 January 2017,"₹2,763"
04 January 2017,"₹2,775"
05 January 2017,"₹2,788"
06 January 2017,"₹2,791"
07 January 2017,"₹2,789"
08 January 2017,"₹2,789"
09 January 2017,"₹2,793"
10 January 2017,"₹2,818"
11 January 2017,"₹2,817"
12 January 2017,"₹2,847"
13 January 2017,"₹2,828"
14 January 2017,"₹2,838"
15 January 2017,"₹2,838"
16 January 2017,"₹2,855"
17 January 2017,"₹2,873"
18 January 2017,"₹2,880"
19 January 2017,"₹2,849"
20 January 2017,"₹2,859"
21 January 2017,"₹2,863"
22 January 2017,"₹2,863"
23 January 2017,"₹2,876"
24 January 2017,"₹2,877"
25 January 2017,"₹2,843"
26 January 2017,"₹2,839"
27 January 2017,"₹2,820"
28 January 2017,"₹2,835"
29 January 2017,"₹2,835"
30 January 2017,"₹2,843"
31 January 2017,"₹2,883"
01 February 2017,"₹2,882"
02 February 2017,"₹2,922"
03 February 2017,"₹2,890"
04 February 2017,"₹2,891"
05 February 2017,"₹2,891"
06 February 2017,"₹2,908"
07 February 2017,"₹2,927"
08 February 2017,"₹2,939"
09 February 2017,"₹2,922"
10 February 2017,"₹2,903"
11 February 2017,"₹2,917"
12 February 2017,"₹2,917"
13 February 2017,"₹2,902"
14 February 2017,"₹2,912"
15 February 2017,"₹2,900"
16 February 2017,"₹2,934"
17 February 2017,"₹2,942"
18 February 2017,"₹2,936"
19 February 2017,"₹2,936"
20 February 2017,"₹2,926"
21 February 2017,"₹2,919"
22 February 2017,"₹2,930"
23 February 2017,"₹2,941"
24 February 2017,"₹2,955"
25 February 2017,"₹2,962"
26 February 2017,"₹2,962"
27 February 2017,"₹2,965"
28 February 2017,"₹2,960"
01 March 2017,"₹2,935"
02 March 2017,"₹2,929"
03 March 2017,"₹2,904"
04 March 2017,"₹2,902"
05 March 2017,"₹2,902"
06 March 2017,"₹2,908"
07 March 2017,"₹2,880"
08 March 2017,"₹2,864"
09 March 2017,"₹2,852"
10 March 2017,"₹2,834"
11 March 2017,"₹2,837"
12 March 2017,"₹2,837"
13 March 2017,"₹2,825"
14 March 2017,"₹2,812"
15 March 2017,"₹2,796"
16 March 2017,"₹2,845"
